구분,발견일,확진일,시도,시군구,Unnamed: 5,주 소,address,lat,lng
1,2019-10-02,2019-10-03,경기,연천,연천,신서면 도밀리 944,연천 신서면 도밀리 944,38.2641580,127.0776421
2,2019-10-11,2019-10-12,경기,연천,연천,왕징면 강서리 986,연천 왕징면 강서리 986,38.0908194,126.9385647
3,2019-10-11,2019-10-12,강원,철원,철원,원남면 진현리 115,철원 원남면 진현리 115,38.3029935,127.6000738
4,2019-10-12,2019-10-12,강원,철원,철원,원남면 진현리 25,철원 원남면 진현리 25,38.3093809,127.6013861
5,2019-10-12,2019-10-12,강원,철원,철원,원남면 진현리 21,철원 원남면 진현리 21,38.3105561,127.6047116
6,2019-10-14,2019-10-15,경기,연천,연천,장남면 판부리 150-2,연천 장남면 판부리 150-2,37.9977460,126.8684165
7,2019-10-15,2019-10-16,강원,철원,철원,원남면 죽대리 산157,철원 원남면 죽대리 산157,38.3054745,127.6195242
8,2019-10-16,2019-10-17,경기,연천,연천,왕징면 강서리 1106,연천 왕징면 강서리 1106,38.0914158,126.9379845
9,2019-10-16,2019-10-17,경기,파주,파주,장단면 거곡리 1066,파주 장단면 거곡리 1066,37.8726952,126.7217994
10,2019-10-19,2019-10-20,경기,연천,연천,연천읍 와초리 615,연천 연천읍 와초리 615,38.1619536,127.0738345
11,2019-10-20,2019-10-21,경기,연천,연천,장남면 반정리 652-1,연천 장남면 반정리 652-1,37.9774909,126.8206033
12,2019-10-19,2019-10-21,강원,철원,철원,원남면 죽대리 164,철원 원남면 죽대리 164,38.3051521,127.6099761
13,2019-10-23,2019-10-23,경기,파주,파주,장단면 석곶리 303,파주 장단면 석곶리 303,37.8608639,126.7183281
14,2019-10-23,2019-10-23,경기,파주,파주,장단면 석곶리 303,파주 장단면 석곶리 303,37.8608639,126.7183281
15,2019-10-24,2019-10-25,강원,철원,철원,원남면 죽대리 167,철원 원남면 죽대리 167,38.3055866,127.6109459
16,2019-10-27,2019-10-28,경기,연천,연천,연천읍 와초리 361,연천 연천읍 와초리 361,38.1555506,127.0792471
17,2019-10-29,2019-10-30,경기,파주,파주,군내면 백연리 398,파주 군내면 백연리 398,37.9013603,126.7255217
18,2019-10-29,2019-10-30,경기,파주,파주,군내면 정자리 46,파주 군내면 정자리 46,37.9169242,126.7677618
19,2019-10-31,2019-11-01,경기,연천,연천,신서면 답곡리 849,연천 신서면 답곡리 849,38.1767485,127.0726028
20,2019-11-01,2019-11-02,강원,철원,철원,원남면 진현리 39,철원 원남면 진현리 39,38.3134165,127.5997574
21,2019-11-06,2019-11-07,강원,철원,철원,원남면 죽대리 167,철원 원남면 죽대리 167,38.3055866,127.6109459
22,2019-11-06,2019-11-07,경기,파주,파주,진동면 하포리 240,파주 진동면 하포리 240,37.9358416,126.8148191
23,2019-11-06,2019-11-08,강원,철원,철원,원남면 진현리 313,철원 원남면 진현리 313,38.3028391,127.5814406
24,2019-11-12,2019-11-13,강원,철원,철원,원남면 진현리 18 ,철원 원남면 진현리 18 ,38.3084837,127.6048192
25,2019-11-12,2019-11-13,강원,철원,철원,원남면 진현리 18,철원 원남면 진현리 18,38.3084837,127.6048192
26,2019-11-20,2019-11-21,강원,철원,철원,원남면 진현리 262,철원 원남면 진현리 262,38.2970575,127.5924669
27,2019-11-26,2019-11-27,강원,철원,철원,원남면 진현리 80,철원 원남면 진현리 80,38.3050924,127.5987451
28,2019-11-25,2019-11-27,경기,파주,파주,군내면 정자리 255 ,파주 군내면 정자리 255 ,37.9153974,126.7662885
29,2019-11-26,2019-11-27,경기,파주,파주,진동면 동파리 372,파주 진동면 동파리 372,37.9023683,126.8013344
30,2019-11-27,2019-11-28,경기,파주,파주,군내면 정자리 93,파주 군내면 정자리 93,37.9221110,126.7622177
31,2019-11-28,2019-11-29,경기,파주,파주,군내면 정자리 206,파주 군내면 정자리 206,37.9160898,126.7669848
32,2019-11-28,2019-11-29,경기,파주,파주,군내면 정자리 23 ,파주 군내면 정자리 23 ,37.9155432,126.7698714
