구분,발견일,확진일,시도,시군구,Unnamed: 5,주 소,address,lat,lng
33,2019-11-27,2019-11-30,경기,연천,연천,신서면 덕산리 70,연천 신서면 덕산리 70,38.2473211,127.0819755
34,2019-11-29,2019-12-01,경기,파주,파주,군내면 읍내리 511,파주 군내면 읍내리 511,37.9356294,126.7451400
35,2019-11-30,2019-12-03,경기,파주,파주,장단면 거곡리 461,파주 장단면 거곡리 461,37.8851056,126.7299085
36,2019-12-02,2019-12-03,경기,연천,연천,신서면 도신리 산120,연천 신서면 도신리 산120,38.1685809,127.0941334
37,2019-12-03,2019-12-04,경기,파주,파주,군내면 정자리 572,파주 군내면 정자리 572,37.9136774,126.7466258
38,2019-12-04,2019-12-05,경기,파주,파주,진동면 하포리 1236,파주 진동면 하포리 1236,37.9404423,126.7880228
39,2019-12-05,2019-12-06,경기,파주,파주,진동면 하포리 1214,파주 진동면 하포리 1214,37.9421016,126.7881867
40,2019-12-05,2019-12-06,강원,철원,철원,갈말읍 신철원리 산5-1 ,철원 갈말읍 신철원리 산5-1 ,38.1312934,127.3515832
41,2019-12-04,2019-12-06,강원,철원,철원,서면 와수리 산27,철원 서면 와수리 산27,38.2448406,127.4607632
42,2019-12-10,2019-12-11,경기,연천,연천,신서면 답곡리 804,연천 신서면 답곡리 804,38.1746743,127.0789002
43,2019-12-10,2019-12-11,경기,연천,연천,연천읍 와초리 602,연천 연천읍 와초리 602,38.1604865,127.0708331
44,2019-12-11,2019-12-12,경기,연천,연천,신서면 답곡리 산245,연천 신서면 답곡리 산245,38.1687728,127.0716465
45,2019-12-11,2019-12-13,경기,연천,연천,신서면 답곡리 1555,연천 신서면 답곡리 1555,38.1994922,127.0843827
46,2019-12-12,2019-12-13,강원,철원,철원,갈말읍 상사리 808,철원 갈말읍 상사리 808,38.2284851,127.2607147
47,2019-12-16,2019-12-18,경기,파주,파주,진동면 하포리 196,파주 진동면 하포리 196,37.9409548,126.8150598
48,2019-12-18,2019-12-19,경기,연천,연천,신서면 도밀리 산11,연천 신서면 도밀리 산11,38.2511534,127.0992703
49,2019-12-18,2019-12-22,경기,파주,파주,진동면 하포리 산108,파주 진동면 하포리 산108,37.9170446,126.8061658
50,2019-12-20,2019-12-22,경기,파주,파주,군내면 정자리 145 ,파주 군내면 정자리 145 ,37.9198137,126.7604303
51,2019-12-23,2019-12-24,경기,연천,연천,신서면 답곡리 513,연천 신서면 답곡리 513,38.2031788,127.0850330
52,2019-12-25,2019-12-26,경기,연천,연천,신서면 마전리 1084,연천 신서면 마전리 1084,38.2151079,127.0575298
53,2019-12-27,2019-12-28,강원,철원,철원,갈말읍 상사리 808,철원 갈말읍 상사리 808,38.2284851,127.2607147
54,2019-12-27,2019-12-29,경기,연천,연천,백학면 석장리 752,연천 백학면 석장리 752,38.0756471,126.9235885
55,2019-12-30,2019-12-31,경기,연천,연천,신서면 답곡리 산194,연천 신서면 답곡리 산194,38.1809819,127.0662119
56,2019-12-30,2020-01-01,경기,파주,파주,군내면 방목리 648,파주 군내면 방목리 648,37.9456393,126.7594391
57,2020-01-02,2020-01-03,경기,연천,연천,중면 삼곶리 산128,연천 중면 삼곶리 산128,38.1527471,127.0066389
58,2020-01-02,2020-01-04,경기,파주,파주,진동면 하포리 산69-1,파주 진동면 하포리 산69-1,37.9477041,126.8080026
59,2020-01-03,2020-01-05,경기,연천,연천,중면 마거리 산109,연천 중면 마거리 산109,38.1974978,127.0414009
60,2020-01-04,2020-01-05,경기,연천,연천,왕징면 강서리 산4,연천 왕징면 강서리 산4,38.1007191,126.9781488
61,2020-01-04,2020-01-05,경기,연천,연천,왕징면 강서리 산4,연천 왕징면 강서리 산4,38.1007191,126.9781488
62,2020-01-04,2020-01-05,경기,연천,연천,신서면 신현리 4,연천 신서면 신현리 4,38.2371472,127.0596534
63,2020-01-06,2020-01-07,경기,연천,연천,백학면 두일리 산172,연천 백학면 두일리 산172,38.0187121,126.8972231
64,2020-01-06,2020-01-07,경기,파주,파주,장단면 거곡리 685,파주 장단면 거곡리 685,37.8689153,126.7290074
65,2020-01-06,2020-01-08,강원,화천,화천,화천읍 풍산리 산269,화천 화천읍 풍산리 산269,38.2480919,127.7679645
66,2020-01-07,2020-01-08,경기,연천,연천,중면 중사리 산404,연천 중면 중사리 산404,38.1406181,126.9976385
67,2020-01-10,2020-01-11,경기,파주,파주,군내면 백연리 산84,파주 군내면 백연리 산84,37.9002596,126.7265357
68,2020-01-09,2020-01-11,경기,파주,파주,진동면 동파리 산76,파주 진동면 동파리 산76,37.9327498,126.7918964
69,2020-01-10,2020-01-11,강원,화천,화천,화천읍 풍산리 산269,화천 화천읍 풍산리 산269,38.2480919,127.7679645
70,2020-01-11,2020-01-13,강원,화천,화천,화천읍 풍산리 산300,화천 화천읍 풍산리 산300,38.2583764,127.7703026
71,2020-01-11,2020-01-13,강원,화천,화천,화천읍 풍산리 산269,화천 화천읍 풍산리 산269,38.2480919,127.7679645
72,2020-01-11,2020-01-13,강원,화천,화천,화천읍 풍산리 산269,화천 화천읍 풍산리 산269,38.2480919,127.7679645
73,2020-01-14,2020-01-15,경기,연천,연천,장남면 반정리 446,연천 장남면 반정리 446,37.9616497,126.8199207
74,2020-01-14,2020-01-15,경기,연천,연천,장남면 반정리 산111 ,연천 장남면 반정리 산111 ,37.9626599,126.8196552
75,2020-01-14,2020-01-16,경기,파주,파주,진동면 동파리 1073,파주 진동면 동파리 1073,37.9306020,126.7928003
76,2020-01-14,2020-01-16,경기,파주,파주,장단면 거곡리 675,파주 장단면 거곡리 675,37.8661966,126.7314731
77,2020-01-14,2020-01-16,경기,파주,파주,군내면 점원리 산181,파주 군내면 점원리 산181,37.9145391,126.7075947
78,2020-01-14,2020-01-16,강원,화천,화천,화천읍 풍산리 산269,화천 화천읍 풍산리 산269,38.2480919,127.7679645
79,2020-01-14,2020-01-16,강원,화천,화천,화천읍 풍산리 산267,화천 화천읍 풍산리 산267,38.2017022,127.7593588
80,2020-01-15,2020-01-16,강원,철원,철원,갈말읍 상사리 396-1,철원 갈말읍 상사리 396-1,38.2148086,127.2635058
81,2020-01-15,2020-01-16,강원,철원,철원,갈말읍 상사리 543,철원 갈말읍 상사리 543,38.2107887,127.2713605
82,2020-01-15,2020-01-17,경기,파주,파주,장단면 노상리 290,파주 장단면 노상리 290,37.8783333,126.7169144
83,2020-01-16,2020-01-17,강원,화천,화천,화천읍 풍산리 산77,화천 화천읍 풍산리 산77,38.1610140,127.7360593
84,2020-01-17,2020-01-18,경기,파주,파주,진동면 동파리 1332,파주 진동면 동파리 1332,37.9287222,126.7840319
85,2020-01-16,2020-01-18,경기,파주,파주,진동면 동파리 114,파주 진동면 동파리 114,37.8967788,126.8030301
86,2020-01-16,2020-01-18,경기,파주,파주,진동면 동파리 114,파주 진동면 동파리 114,37.8967788,126.8030301
87,2020-01-20,2020-01-21,강원,화천,화천,화천읍 풍산리 산103,화천 화천읍 풍산리 산103,38.1493106,127.7326282
88,2020-01-20,2020-01-21,강원,화천,화천,화천읍 풍산리 692-28,화천 화천읍 풍산리 692-28,38.1480598,127.7363681
89,2020-01-09,2020-01-22,경기,파주,파주,진동면 서곡리 산199,파주 진동면 서곡리 산199,37.9296938,126.7741713
90,2020-01-09,2020-01-22,경기,파주,파주,진동면 서곡리 산199,파주 진동면 서곡리 산199,37.9296938,126.7741713
91,2020-01-09,2020-01-22,경기,파주,파주,진동면 서곡리 862,파주 진동면 서곡리 862,37.9302128,126.7741058
92,2020-01-09,2020-01-22,경기,파주,파주,진동면 서곡리 862,파주 진동면 서곡리 862,37.9302128,126.7741058
93,2020-01-09,2020-01-22,경기,파주,파주,진동면 서곡리 산194,파주 진동면 서곡리 산194,37.9331191,126.7725394
94,2020-01-09,2020-01-22,경기,파주,파주,진동면 서곡리 산194,파주 진동면 서곡리 산194,37.9331191,126.7725394
95,2020-01-20,2020-01-22,경기,파주,파주,진동면 서곡리 산97,파주 진동면 서곡리 산97,37.9524075,126.7712400
96,2020-01-22,2020-01-23,강원,화천,화천,화천읍 풍산리 산102,화천 화천읍 풍산리 산102,38.1490228,127.7356133
97,2020-01-22,2020-01-23,강원,화천,화천,화천읍 풍산리 산103,화천 화천읍 풍산리 산103,38.1493106,127.7326282
98,2020-01-22,2020-01-23,강원,화천,화천,화천읍 풍산리 산103,화천 화천읍 풍산리 산103,38.1493106,127.7326282
99,2020-01-22,2020-01-23,경기,파주,파주,장단면 노상리 264-1,파주 장단면 노상리 264-1,37.8821859,126.7206382
100,2020-01-22,2020-01-23,경기,연천,연천,왕징면 강서리 396,연천 왕징면 강서리 396,38.1012867,126.9735820
101,2020-01-22,2020-01-23,경기,연천,연천,백학면 석장리 888-36,연천 백학면 석장리 888-36,38.0755217,126.9233016
102,2020-01-22,2020-01-23,강원,화천,화천,화천읍 풍산리 432,화천 화천읍 풍산리 432,38.1608997,127.7341606
103,2020-01-22,2020-01-23,강원,화천,화천,화천읍 풍산리 산77,화천 화천읍 풍산리 산77,38.1610140,127.7360593
104,2020-01-22,2020-01-23,강원,화천,화천,화천읍 풍산리 산82,화천 화천읍 풍산리 산82,38.1590556,127.7342768
105,2020-01-22,2020-01-24,경기,파주,파주,군내면 백연리 13,파주 군내면 백연리 13,37.9234433,126.7394075
106,2020-01-23,2020-01-24,강원,화천,화천,화천읍 풍산리 산92,화천 화천읍 풍산리 산92,38.1534680,127.7369173
107,2020-01-24,2020-01-26,경기,연천,연천,백학면 두현리 산17,연천 백학면 두현리 산17,38.0252063,126.8938377
108,2020-01-24,2020-01-26,경기,연천,연천,백학면 두현리 산17,연천 백학면 두현리 산17,38.0252063,126.8938377
109,2020-01-24,2020-01-26,경기,연천,연천,백학면 두현리 산17,연천 백학면 두현리 산17,38.0252063,126.8938377
110,2020-01-24,2020-01-26,경기,연천,연천,백학면 두현리 산17,연천 백학면 두현리 산17,38.0252063,126.8938377
111,2020-01-24,2020-01-26,경기,연천,연천,백학면 두현리 산17,연천 백학면 두현리 산17,38.0252063,126.8938377
112,2020-01-24,2020-01-26,경기,연천,연천,백학면 두현리 산17,연천 백학면 두현리 산17,38.0252063,126.8938377
113,2020-01-24,2020-01-26,경기,연천,연천,왕징면 강서리 산42,연천 왕징면 강서리 산42,38.0943164,126.9852479
114,2020-01-23,2020-01-26,경기,파주,파주,진동면 하포리 421,파주 진동면 하포리 421,37.9169309,126.8192756
115,2020-01-23,2020-01-26,경기,파주,파주,진동면 동파리 산121,파주 진동면 동파리 산121,37.9291992,126.7800405
116,2020-01-24,2020-01-27,강원,화천,화천,상서면 산양리 산95,화천 상서면 산양리 산95,38.2191310,127.6897243
117,2020-01-24,2020-01-27,강원,화천,화천,상서면 산양리 산95,화천 상서면 산양리 산95,38.2191310,127.6897243
118,2020-01-27,2020-01-28,경기,연천,연천,백학면 두현리 78,연천 백학면 두현리 78,38.0242494,126.8939966
119,2020-01-27,2020-01-29,강원,화천,화천,화천읍 풍산리 산70,화천 화천읍 풍산리 산70,38.1608087,127.7405851
120,2020-01-27,2020-01-29,강원,화천,화천,화천읍 풍산리 산35,화천 화천읍 풍산리 산35,38.1662986,127.7422911
121,2020-01-27,2020-01-29,강원,화천,화천,화천읍 풍산리 428,화천 화천읍 풍산리 428,38.1620909,127.7358214
122,2020-01-27,2020-01-29,강원,화천,화천,화천읍 풍산리 418-1,화천 화천읍 풍산리 418-1,38.1651301,127.7427881
123,2020-01-27,2020-01-29,강원,화천,화천,화천읍 풍산리 산97,화천 화천읍 풍산리 산97,38.1534456,127.7337322
124,2020-01-27,2020-01-29,강원,화천,화천,화천읍 풍산리 산78,화천 화천읍 풍산리 산78,38.1636036,127.7329991
125,2020-01-28,2020-01-30,강원,화천,화천,화천읍 풍산리 산54,화천 화천읍 풍산리 산54,38.1725070,127.7351472
126,2020-01-28,2020-01-30,강원,화천,화천,화천읍 풍산리 산60,화천 화천읍 풍산리 산60,38.1770326,127.7343648
127,2020-01-28,2020-01-30,강원,화천,화천,화천읍 풍산리 산60 ,화천 화천읍 풍산리 산60 ,38.1770326,127.7343648
128,2020-01-28,2020-01-30,경기,파주,파주,진동면 서곡리 286,파주 진동면 서곡리 286,37.9334983,126.7792831
129,2020-01-28,2020-01-30,경기,파주,파주,진동면 서곡리 286,파주 진동면 서곡리 286,37.9334983,126.7792831
130,2020-01-27,2020-01-30,경기,파주,파주,진동면 서곡리 산97,파주 진동면 서곡리 산97,37.9524075,126.7712400
131,2020-01-29,2020-01-31,강원,화천,화천,화천읍 풍산리 산60 ,화천 화천읍 풍산리 산60 ,38.1770326,127.7343648
132,2020-01-29,2020-01-31,강원,화천,화천,화천읍 풍산리 산60 ,화천 화천읍 풍산리 산60 ,38.1770326,127.7343648
133,2020-01-29,2020-01-31,경기,연천,연천,중면 횡산리 504,연천 중면 횡산리 504,38.1217788,126.9741636
134,2020-01-27,2020-01-31,경기,파주,파주,진동면 하포리 산136 ,파주 진동면 하포리 산136 ,37.9349164,126.8209057
135,2020-01-30,2020-01-31,강원,화천,화천,화천읍 신읍리 335,화천 화천읍 신읍리 335,38.1601388,127.7177601
136,2020-01-30,2020-01-31,강원,화천,화천,화천읍 신읍리 산21,화천 화천읍 신읍리 산21,38.1633182,127.7182028
137,2020-01-30,2020-01-31,강원,화천,화천,화천읍 신읍리 산21,화천 화천읍 신읍리 산21,38.1633182,127.7182028
138,2020-01-30,2020-01-31,강원,화천,화천,화천읍 풍산리 산57,화천 화천읍 풍산리 산57,38.1714713,127.7399915
139,2020-01-28,2020-02-02,경기,파주,파주,진동면 동파리 산125,파주 진동면 동파리 산125,37.9300252,126.7784429
140,2020-01-28,2020-02-02,경기,파주,파주,진동면 하포리 산149,파주 진동면 하포리 산149,37.9192938,126.8195889
141,2020-01-28,2020-02-02,경기,파주,파주,진동면 하포리 산98,파주 진동면 하포리 산98,37.9336352,126.8032311
142,2020-01-31,2020-02-02,경기,연천,연천,신서면 답곡리 1024,연천 신서면 답곡리 1024,38.2055951,127.0490817
143,2020-01-31,2020-02-02,강원,화천,화천,화천읍 신읍리 산22,화천 화천읍 신읍리 산22,38.1670091,127.7228819
144,2020-01-31,2020-02-02,강원,화천,화천,화천읍 신읍리 산22,화천 화천읍 신읍리 산22,38.1670091,127.7228819
145,2020-01-31,2020-02-02,강원,화천,화천,화천읍 신읍리 산22,화천 화천읍 신읍리 산22,38.1670091,127.7228819
146,2020-01-31,2020-02-02,강원,화천,화천,화천읍 신읍리 산238,화천 화천읍 신읍리 산238,38.1770444,127.7048308
147,2020-01-31,2020-02-02,경기,연천,연천,왕징면 작동리 산1,연천 왕징면 작동리 산1,38.0667602,126.9169240
148,2020-02-01,2020-02-02,강원,화천,화천,화천읍 신읍리 340,화천 화천읍 신읍리 340,38.1614800,127.7192952
149,2020-02-02,2020-02-04,강원,화천,화천,화천읍 풍산리 624-1,화천 화천읍 풍산리 624-1,38.1526103,127.7270615
150,2020-02-02,2020-02-04,강원,화천,화천,화천읍 신읍리 산32,화천 화천읍 신읍리 산32,38.1576467,127.7190654
151,2020-02-02,2020-02-04,강원,화천,화천,화천읍 풍산리 947-2,화천 화천읍 풍산리 947-2,38.1417646,127.7357687
152,2020-02-02,2020-02-04,강원,화천,화천,화천읍 풍산리 산60,화천 화천읍 풍산리 산60,38.1770326,127.7343648
153,2020-02-02,2020-02-04,강원,화천,화천,화천읍 풍산리 산56,화천 화천읍 풍산리 산56,38.1712143,127.7348373
154,2020-02-01,2020-02-04,경기,파주,파주,진동면 서곡리 산90,파주 진동면 서곡리 산90,37.9550744,126.7752126
155,2020-02-03,2020-02-04,강원,화천,화천,화천읍 풍산리 산60,화천 화천읍 풍산리 산60,38.1770326,127.7343648
156,2020-02-03,2020-02-04,강원,화천,화천,화천읍 풍산리 산60,화천 화천읍 풍산리 산60,38.1770326,127.7343648
157,2020-02-03,2020-02-04,강원,화천,화천,화천읍 풍산리 산60,화천 화천읍 풍산리 산60,38.1770326,127.7343648
158,2020-02-03,2020-02-04,강원,화천,화천,화천읍 풍산리 산60,화천 화천읍 풍산리 산60,38.1770326,127.7343648
159,2020-02-03,2020-02-04,강원,화천,화천,화천읍 풍산리 산60,화천 화천읍 풍산리 산60,38.1770326,127.7343648
160,2020-02-03,2020-02-04,강원,화천,화천,상서면 봉오리 산1,화천 상서면 봉오리 산1,38.1899057,127.6138659
161,2020-02-03,2020-02-04,경기,연천,연천,백학면 석장리 698,연천 백학면 석장리 698,38.0739112,126.9254033
162,2020-02-03,2020-02-04,경기,연천,연천,왕징면 작동리 407,연천 왕징면 작동리 407,38.0668065,126.9156255
163,2020-02-03,2020-02-04,경기,연천,연천,백학면 석장리 산214,연천 백학면 석장리 산214,38.0662159,126.9181446
164,2020-02-03,2020-02-04,경기,연천,연천,왕징면 고잔하리 160,연천 왕징면 고잔하리 160,38.1046804,126.9533598
165,2020-02-04,2020-02-05,경기,연천,연천,백학면 석장리 819,연천 백학면 석장리 819,38.0665204,126.9192697
166,2020-02-04,2020-02-05,경기,연천,연천,백학면 석장리 754,연천 백학면 석장리 754,38.0753962,126.9266282
167,2020-02-04,2020-02-06,강원,화천,화천,화천읍 풍산리 산57,화천 화천읍 풍산리 산57,38.1714713,127.7399915
168,2020-02-04,2020-02-06,강원,화천,화천,상서면 부촌리 산1,화천 상서면 부촌리 산1,38.1910263,127.6949029
169,2020-02-04,2020-02-06,경기,연천,연천,왕징면 작동리 410,연천 왕징면 작동리 410,38.0644105,126.9163016
170,2020-02-06,2020-02-07,경기,연천,연천,중면 삼곶리 533,연천 중면 삼곶리 533,38.1406262,127.0139787
171,2020-02-07,2020-02-09,경기,연천,연천,중면 적거리 410,연천 중면 적거리 410,38.1573331,127.0196613
172,2020-02-07,2020-02-09,강원,철원,철원,근남면 양지리 75,철원 근남면 양지리 75,38.2837208,127.5352579
173,2020-02-07,2020-02-09,강원,화천,화천,상서면 부촌리 51-1,화천 상서면 부촌리 51-1,38.1894181,127.6805325
174,2020-02-07,2020-02-09,강원,화천,화천,간동면 방천리 산12,화천 간동면 방천리 산12,38.0869234,127.8639508
175,2020-02-08,2020-02-10,강원,화천,화천,화천읍 풍산리 산77,화천 화천읍 풍산리 산77,38.1610140,127.7360593
176,2020-02-09,2020-02-10,경기,연천,연천,왕징면 작동리 산108,연천 왕징면 작동리 산108,38.0658593,126.9128030
177,2020-02-08,2020-02-10,경기,연천,연천,왕징면 작동리 349,연천 왕징면 작동리 349,38.0710036,126.9153302
178,2020-02-10,2020-02-11,강원,화천,화천,상서면 부촌리 57,화천 상서면 부촌리 57,38.1940957,127.6877446
179,2020-02-10,2020-02-11,강원,화천,화천,상서면 부촌리 산29,화천 상서면 부촌리 산29,38.1915999,127.6786322
180,2020-02-10,2020-02-11,경기,연천,연천,중면 합수리 산17,연천 중면 합수리 산17,38.1546843,127.0570151
181,2020-02-10,2020-02-11,경기,연천,연천,중면 적거리 산124,연천 중면 적거리 산124,38.1640592,127.0198252
182,2020-02-10,2020-02-11,경기,연천,연천,장남면 반정리 1119-6,연천 장남면 반정리 1119-6,37.9733868,126.8283057
183,2020-02-10,2020-02-11,경기,연천,연천,장남면 반정리 342,연천 장남면 반정리 342,37.9711483,126.8246027
184,2020-02-11,2020-02-12,강원,화천,화천,간동면 방천리 산86,화천 간동면 방천리 산86,38.0779597,127.8502984
185,2020-02-11,2020-02-12,강원,화천,화천,간동면 방천리 산86,화천 간동면 방천리 산86,38.0779597,127.8502984
186,2020-02-11,2020-02-13,강원,화천,화천,상서면 노동리 산2,화천 상서면 노동리 산2,38.1795456,127.6906764
187,2020-02-11,2020-02-13,강원,화천,화천,상서면 부촌리 산21,화천 상서면 부촌리 산21,38.1924010,127.6916868
188,2020-02-11,2020-02-13,강원,화천,화천,상서면 부촌리 57,화천 상서면 부촌리 57,38.1940957,127.6877446
189,2020-02-11,2020-02-13,경기,연천,연천,왕징면 강서리 산105,연천 왕징면 강서리 산105,38.0989554,126.9397931
190,2020-02-11,2020-02-13,경기,연천,연천,왕징면 강서리 866,연천 왕징면 강서리 866,38.0998937,126.9441842
191,2020-02-11,2020-02-13,경기,연천,연천,장남면 판부리 181,연천 장남면 판부리 181,38.0006710,126.8618639
192,2020-02-11,2020-02-13,경기,파주,파주,군내면 읍내리 456,파주 군내면 읍내리 456,37.9328359,126.7489995
193,2020-02-10,2020-02-13,강원,철원,철원,원남면 주파리 78,철원 원남면 주파리 78,38.2588515,127.6845964
194,2020-02-12,2020-02-13,강원,화천,화천,상서면 부촌리 산1,화천 상서면 부촌리 산1,38.1910263,127.6949029
195,2020-02-12,2020-02-13,강원,화천,화천,상서면 부촌리 산1,화천 상서면 부촌리 산1,38.1910263,127.6949029
196,2020-02-12,2020-02-13,경기,연천,연천,왕징면 작동리 산20,연천 왕징면 작동리 산20,38.0844305,126.9213783
197,2020-02-12,2020-02-13,경기,연천,연천,왕징면 작동리 산20,연천 왕징면 작동리 산20,38.0844305,126.9213783
198,2020-02-12,2020-02-13,경기,연천,연천,왕징면 작동리 산20,연천 왕징면 작동리 산20,38.0844305,126.9213783
199,2020-02-12,2020-02-13,경기,연천,연천,왕징면 작동리 산20,연천 왕징면 작동리 산20,38.0844305,126.9213783
200,2020-02-13,2020-02-14,강원,화천,화천,상서면 부촌리 산1,화천 상서면 부촌리 산1,38.1910263,127.6949029
201,2020-02-13,2020-02-14,강원,화천,화천,상서면 부촌리 산1,화천 상서면 부촌리 산1,38.1910263,127.6949029
202,2020-02-13,2020-02-14,강원,화천,화천,상서면 부촌리 산1,화천 상서면 부촌리 산1,38.1910263,127.6949029
203,2020-02-13,2020-02-14,강원,화천,화천,상서면 부촌리 산1,화천 상서면 부촌리 산1,38.1910263,127.6949029
204,2020-02-12,2020-02-14,경기,연천,연천,백학면 석장리 888-36,연천 백학면 석장리 888-36,38.0755217,126.9233016
205,2020-01-31,2020-02-16,경기,파주,파주,진동면 동파리 산4,파주 진동면 동파리 산4,37.9084629,126.8109116
206,2020-01-31,2020-02-16,경기,파주,파주,진동면 동파리 17,파주 진동면 동파리 17,37.9077356,126.8113485
207,2020-01-31,2020-02-16,경기,파주,파주,진동면 동파리 16,파주 진동면 동파리 16,37.9070960,126.8114437
208,2020-01-31,2020-02-16,경기,파주,파주,진동면 동파리 1673,파주 진동면 동파리 1673,37.9052099,126.8107457
209,2020-01-31,2020-02-16,경기,파주,파주,진동면 동파리 20,파주 진동면 동파리 20,37.9056576,126.8112657
210,2020-01-31,2020-02-16,경기,파주,파주,진동면 동파리 28,파주 진동면 동파리 28,37.9004025,126.8084381
211,2020-02-14,2020-02-16,강원,화천,화천,화천읍 신읍리 산286,화천 화천읍 신읍리 산286,38.1950741,127.7168364
212,2020-02-14,2020-02-16,강원,화천,화천,화천읍 신읍리 산252,화천 화천읍 신읍리 산252,38.2079833,127.7236803
213,2020-02-14,2020-02-16,강원,화천,화천,상서면 부촌리 산1,화천 상서면 부촌리 산1,38.1910263,127.6949029
214,2020-02-14,2020-02-16,강원,화천,화천,상서면 부촌리 산1,화천 상서면 부촌리 산1,38.1910263,127.6949029
215,2020-02-14,2020-02-16,강원,화천,화천,상서면 부촌리 산1,화천 상서면 부촌리 산1,38.1910263,127.6949029
216,2020-02-14,2020-02-16,경기,연천,연천,장남면 반정리 341,연천 장남면 반정리 341,37.9714884,126.8247772
217,2020-02-14,2020-02-16,강원,철원,철원,갈말읍 내대리 산46,철원 갈말읍 내대리 산46,38.2034752,127.3045144
218,2020-02-15,2020-02-17,경기,연천,연천,백학면 석장리 산178,연천 백학면 석장리 산178,38.0812124,126.9268181
219,2020-02-15,2020-02-17,경기,연천,연천,백학면 석장리 818,연천 백학면 석장리 818,38.0659715,126.9197132
220,2020-02-15,2020-02-17,강원,화천,화천,화천읍 신읍리 산20,화천 화천읍 신읍리 산20,38.1580641,127.7163626
